Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
135482,Reliance Fixed Horizon Fund XXIX- Series 10- Direct Plan-Growth Option,0,7.94,-100.0,-100.0,-100.0,-100,7.94,0.0,Low
131168,Reliance Fixed Horizon Fund - XXVII - Series 5 - Direct Plan - Growth Option,0,9.14,-100.0,-100.0,-100.0,-100,9.14,0.0,Low
135637,Reliance Fixed Horizon Fund XXIX- Series 14-Direct Plan-Growth Option,0,8.08,-100.0,-100.0,-100.0,-100,8.08,0.0,Low
135767,Reliance Fixed Horizon Fund XXIX- Series 16- Direct Plan-Growth Option,0,7.86,-100.0,-100.0,-100.0,-100,7.86,0.88,Low
135866,Reliance Fixed Horizon Fund XXIX- Series 18- Direct Plan-Growth Option,0,4.93,-100.0,-100.0,-100.0,-100,4.93,5.26,Avg
135885,Reliance Fixed Horizon Fund XXIX- Series 19- Direct Plan-Growth Option,0,7.96,-100.0,-100.0,-100.0,-100,7.96,0.87,Low
135941,Reliance Fixed Horizon Fund XXIX- Series 20- Direct Plan-Growth Option,0,7.98,-100.0,-100.0,-100.0,-100,7.98,0.87,Low
135334,Reliance Fixed Horizon Fund XXIX- Series 6- Direct Plan - Growth Option,0,8.16,-100.0,-100.0,-100.0,-100,8.16,0.0,Low
135215,Reliance Fixed Horizon Fund XXIX- Series 3- Direct Plan-Growth Option,0,9.61,-100.0,-100.0,-100.0,-100,9.61,0.0,Low
135415,Reliance Fixed Horizon Fund XXIX- Series 8- Direct Plan-Growth Option,0,8.06,-100.0,-100.0,-100.0,-100,8.06,0.0,Low
135393,Reliance Fixed Horizon Fund XXIX- Series 7- Direct Plan- Growth Option,0,9.42,-100.0,-100.0,-100.0,-100,9.42,0.0,Low
135441,Reliance Fixed Horizon Fund XXIX- Series 9- Direct Plan-Growth Option,0,7.95,-100.0,-100.0,-100.0,-100,7.95,0.0,Low
129149,Reliance Fixed Horizon Fund XXVI- Series 15- Direct Plan - Growth Option,0,8.46,-100.0,-100.0,-100.0,-100,8.46,0.0,Low
